split_name,id,query,pred_tool,pred_args,raw_output,tool_n,tool_tool_acc,tool_arg_em,tool_exec_success,tool_joint,tools,gold_call
train_5,3,"I'm thinking of investing $7,500 for 8 years. If the bank offers me a 2.25% interest rate, how much money will I have at the end of this period?",calculate_investment_return,"{""initial_amount"": 7500, ""interest_rate"": 2.25, ""num_years"": 8}","{""tool"":""calculate_investment_return"",""arguments"":{""initial_amount"":7500,""interest_rate"":2.25,""num_years"":8}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""calculate_investment_return"", ""arguments"": {""initial_amount"": 7500, ""interest_rate"": 0.0225, ""num_years"": 8}}"
train_50,8,Simulate querying a database for users who are active and have a role of 'admin' in the 'users' table.,simulate_query_database,"{""table"": ""users"", ""conditions"": [{""field"": ""active"", ""operator"": ""="", ""value"": true}, {""field"": ""role"", ""operator"": ""="", ""value"": ""admin""}]}","{""tool"":""simulate_query_database"",""arguments"":{""table"":""users"",""conditions"":[{""field"":""active"",""operator"":""="",""value"":true},{""field"":""role"",""operator"":""="",""value"":""admin""}]}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""simulate_query_database"", ""arguments"": {""table"": ""users"", ""conditions"": [{""role"": ""admin""}, {""status"": ""active""}]}}"
train_50,13,"Determine the distance between the points (-1,-1) and (1,1).",euclidean_distance,"{""point_a"": {""x"": -1, ""y"": -1}, ""point_b"": {""x"": 1, ""y"": 1}}","{""tool"":""euclidean_distance"",""arguments"":{""point_a"":{""x"":-1,""y"":-1},""point_b"":{""x"":1,""y"":1}}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""euclidean_distance"", ""arguments"": {""point_a"": [-1, -1], ""point_b"": [1, 1]}}"
train_50,15,Estimate the derivative of the function f(x) = x^2 at x = 3 using numerical methods.,numerical_derivative,"{""function"": ""lambda x: x**2"", ""x"": 3}","{""tool"":""numerical_derivative"",""arguments"":{""function"":""lambda x: x**2"",""x"":3}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""numerical_derivative"", ""arguments"": {""function"": ""lambda x: x ** 2"", ""x"": 3}}"
train_50,16,"Predict the y-value for x=7 using a linear regression model trained on points (4,4), (5,5), (6,6).",linear_regression_prediction,"{""x_values"": [4.0, 5.0, 6.0], ""y_values"": [4.0, 5.0, 6.0], ""target_x"": 7.0}","{""tool"":""linear_regression_prediction"",""arguments"":{""x_values"":[4.0,5.0,6.0],""y_values"":[4.0,5.0,6.0],""target_x"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""linear_regression_prediction"", ""arguments"": {""x_values"": [4, 5, 6], ""y_values"": [4, 5, 6], ""target_x"": 7}}"
train_50,30,Calculate the area of a triangle with a base of 5 units and a height of 7 units.,triangle_area,"{""base"": 5.0, ""height"": 7.0}","{""tool"":""triangle_area"",""arguments"":{""base"":5.0,""height"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""triangle_area"", ""arguments"": {""base"": 5, ""height"": 7}}"
train_50,38,"Calculate the investment growth for an initial investment of $1000, annual addition of $500, for 10 years, with a return rate of 7% and an annual inflation rate of 2%.",project_investment_growth,"{""principal"": 1000.0, ""annual_addition"": 500.0, ""years"": 10, ""return_rate"": 0.07, ""inflation"": [0.02], ""inflation_adjusted"": true}","{""tool"":""project_investment_growth"",""arguments"":{""principal"":1000.0,""annual_addition"":500.0,""years"":10,""return_rate"":0.07,""inflation"":[0.02],""inflation_adjusted"":true}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""project_investment_growth"", ""arguments"": {""principal"": 1000, ""annual_addition"": 500, ""years"": 10, ""return_rate"": 0.07, ""inflation"": ""[0.02] * 10""}}"
train_50,44,"I'm thinking of investing $7,500 for 8 years. If the bank offers me a 2.25% interest rate, how much money will I have at the end of this period?",calculate_investment_return,"{""initial_amount"": 7500, ""interest_rate"": 2.25, ""num_years"": 8}","{""tool"":""calculate_investment_return"",""arguments"":{""initial_amount"":7500,""interest_rate"":2.25,""num_years"":8}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""calculate_investment_return"", ""arguments"": {""initial_amount"": 7500, ""interest_rate"": 0.0225, ""num_years"": 8}}"
train_50,47,"Determine if the years 2000, 2004, and 2022 are leap years, and then find the DNA sequence for sequence ID 'NM_000520' in FASTA format with 100 upstream bases.",get_dna_sequence,"{""sequence_id"": ""NM_000520"", ""file_format"": ""fasta"", ""upstream_bases"": 100}","{""tool"":""get_dna_sequence"",""arguments"":{""sequence_id"":""NM_000520"",""file_format"":""fasta"",""upstream_bases"":100}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""is_leap_year"", ""arguments"": {""year"": 2000}}"
train_50,48,What is the probability of rolling a sum of 7 with 2 six-sided dice?,dice_roll_probability,"{""target_sum"": 7, ""num_dice"": 2, ""num_faces"": 6}","{""tool"":""dice_roll_probability"",""arguments"":{""target_sum"":7,""num_dice"":2,""num_faces"":6}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""dice_roll_probability"", ""arguments"": {""target_sum"": 7, ""num_dice"": 2}}"
train_100,10,"Compute the standard deviation for the dataset [7.1, 14.2, 21.3, 28.4, 35.5] and determine the number of permutations when selecting 5 items from a set of 11.",permutation_count,"{""n"": 11, ""k"": 5}","{""tool"":""permutation_count"",""arguments"":{""n"":11,""k"":5}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""std_deviation"", ""arguments"": {""numbers"": [7.1, 14.2, 21.3, 28.4, 35.5]}}"
train_100,14,"Search for companies in 'healthcare,biotech' and get case details for 'case999'.",search,"{""terms"": ""healthcare,biotech"", ""page"": ""0""}","{""tool"":""search"",""arguments"":{""terms"":""healthcare,biotech"",""page"":""0""}}",2,1.0,0.5,1.0,0.5,,"{""name"": ""search"", ""arguments"": {""terms"": ""healthcare,biotech""}}"
train_100,16,Simulate querying a database for users who are active and have a role of 'admin' in the 'users' table.,simulate_query_database,"{""table"": ""users"", ""conditions"": [{""field"": ""active"", ""operator"": ""="", ""value"": true}, {""field"": ""role"", ""operator"": ""="", ""value"": ""admin""}]}","{""tool"":""simulate_query_database"",""arguments"":{""table"":""users"",""conditions"":[{""field"":""active"",""operator"":""="",""value"":true},{""field"":""role"",""operator"":""="",""value"":""admin""}]}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""simulate_query_database"", ""arguments"": {""table"": ""users"", ""conditions"": [{""role"": ""admin""}, {""status"": ""active""}]}}"
train_100,20,Determine the 95% confidence interval for a sample mean of 50 with a standard deviation of 10 and a sample size of 100.,mean_confidence_interval,"{""std_dev"": 10, ""sample_size"": 100, ""mean"": 50, ""confidence"": 0.95}","{""tool"":""mean_confidence_interval"",""arguments"":{""std_dev"":10,""sample_size"":100,""mean"":50,""confidence"":0.95}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""mean_confidence_interval"", ""arguments"": {""std_dev"": 10, ""sample_size"": 100, ""mean"": 50}}"
train_100,29,"Determine the distance between the points (-1,-1) and (1,1).",euclidean_distance,"{""point_a"": {""x"": -1, ""y"": -1}, ""point_b"": {""x"": 1, ""y"": 1}}","{""tool"":""euclidean_distance"",""arguments"":{""point_a"":{""x"":-1,""y"":-1},""point_b"":{""x"":1,""y"":1}}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""euclidean_distance"", ""arguments"": {""point_a"": [-1, -1], ""point_b"": [1, 1]}}"
train_100,35,Estimate the derivative of the function f(x) = x^2 at x = 3 using numerical methods.,numerical_derivative,"{""function"": ""lambda x: x**2"", ""x"": 3}","{""tool"":""numerical_derivative"",""arguments"":{""function"":""lambda x: x**2"",""x"":3}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""numerical_derivative"", ""arguments"": {""function"": ""lambda x: x ** 2"", ""x"": 3}}"
train_100,36,"Predict the y-value for x=7 using a linear regression model trained on points (4,4), (5,5), (6,6).",linear_regression_prediction,"{""x_values"": [4.0, 5.0, 6.0], ""y_values"": [4.0, 5.0, 6.0], ""target_x"": 7.0}","{""tool"":""linear_regression_prediction"",""arguments"":{""x_values"":[4.0,5.0,6.0],""y_values"":[4.0,5.0,6.0],""target_x"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""linear_regression_prediction"", ""arguments"": {""x_values"": [4, 5, 6], ""y_values"": [4, 5, 6], ""target_x"": 7}}"
train_100,58,Calculate the area of a triangle with a base of 5 units and a height of 7 units.,triangle_area,"{""base"": 5.0, ""height"": 7.0}","{""tool"":""triangle_area"",""arguments"":{""base"":5.0,""height"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""triangle_area"", ""arguments"": {""base"": 5, ""height"": 7}}"
